categorie|marque|nom|nutritionGradeFr|ingredients|energie100g|graisse100g|sucres100g|fibres100g|proteines100g|sel100g|vitA100g|vitD100g|vitE100g|vitK100g|vitC100g|vitB1100g|vitB2100g|vitPP100g|vitB6100g|vitB9100g|vitB12100g|calcium100g|magnesium100g|iron100g|fer100g|betaCarotene100g|presenceHuilePalme|allergenes|additifs|
Conserves|Cora|Champignons de Paris 1er choix|b|Champignons de Paris, eau, sel, acidifiant : acide citrique, antioxydant : acide ascorbique.|79|0.5|0.5|2.1|2.2|0.7|||||||||||||||||0||E300 - Acide ascorbique,E330 - Acide citrique|
Conserves|Cora|Mirabelles au sirop|a|Mirabelle avec noyaux, eau, sucre|352|0.5|16.7|1.5|0.5|0.01|||||||||||||||||0|||
Conserves|Cora|Garniture pour bouchées à la reine|c|Eau, quenelles de volaille 21 %, dés de viande hachée de dinde cuits 11 %, champignons de Paris 5.5 %, agent crémeux, amidon de riz, amidon transformé de maïs, farine de _blé_, vin blanc, arômes, _beurre_, _oeufs_ entiers concentrés salés, _crème_ fraîche, sel, spécialité à base de jus de citron.|607|9.9|0.7|1.2|4.5|1.3|||||||||||||||||0|blé, oeufs, blé, lactose, lait, blé, lait, blé, lait, blé, oeufs, beurre, oeufs, crème|E14XX - Amidons modifiés,E300 - Acide ascorbique,E330 - Acide citrique,E452 - Polyphosphates|
Conserves|Cora|Petits pois et carottes|a|Petits pois extra-fins 50% mini - carottes 30% mini - eau - sucre - sel - arôme naturel de poivre|225|0.3|4.5|2|2.8|0.62|||||||||||||||||0|||
Conserves|Côté Snack,Marque Repère|Salade de Thon Italienne|a|_Thon_ précuit 23%, eau, maïs 15%, tomates 13%, carottes 12%, huile de colza, torsades 3.6%, torsades aromatisées épinard 3.2%, plantes aromatiques et épice, vinaigre d'alcool, sel, épaississants : gomme xanthane, gomme guar.|527|6.2|2.2|1.7|8.7|0.89|||||||||||||||||0|Thon, blé, œuf, blé, œuf|E412 - Gomme de guar,E415 - Gomme xanthane|
Conserves|Côté Snack,Marque Repère|Salade de Thon Catalane|a|_Thon_ précuit 23  %, eau; oignons 9.4 % poivrons rouges 8.8 %; concentré de tomates 8.6 %; poivrons verts 6.8 % ; haricots verts 5.2 %, huile de colza; pâtes 4 %; huile d'olive vierge extra ; sucre : olives noires 0.9% * olives, sel; vinaigre d'alcool; sel: plantes aromatiques et épice ; _moutarde_ de Dijon; épaississants: gomme guar, gomme xanthane: jus de citron concentré, arôme naturel: amidon de riz; arôme naturel de thym.|484|6.2|3.3|1.8|9.1|0.88|||||||||||||||||0|en:eggs,en:fish,en:gluten,en:mustard|E330 - Acide citrique,E412 - Gomme de guar,E415 - Gomme xanthane|
Conserves|Côté Table,marque repère|Ravioli aux 6 légumes|b|Eau, ravioli 27 % [semoule de blé dur, eau, chapelure, brocolis 1 %, épinards 1 %, carottes 0.8 %, huile de tournesol, oignons 0.3 %, fécule de manioc, set, basilic, arômes), purée de tomates 14 %, carottes 8.9 %, oignons 2.6 %, poivrons rouges 1.6 %, olives vertes 1.6 %, aubergines 1.6 %, plantes aromatiques, huile de tournesol, sel, sucre, amidon modifié de maïs, arômes. Traces de céleri, lait et œufs.|364|1.3|2.1|1.7|2.9|0.8|||||||||||||||||0|en:gluten|E14XX - Amidons modifiés|
Conserves|D'Aucy|Betteraves Rouges en Dés|a|Betteraves rouges, eau, sucre sel, jus concentré de citron, vinaigre d'alcool.|167|0|6.5|2.6|1.1|0.54|||||||||||||||||0|||
Conserves|D'Aucy|Petit salé cuisiné aux aromates|a|Eau, lentilles vertes réhydratées 27 %, viande de porc saumurée et précuite 26 %, carottes, graisse de canard, oignons grelots, concentré de tomates, amidon, aromates, sel, arômes naturels.|414|3.9|0.5|2.3|8.6|0.99|||||||||||||||||0||E509 - Chlorure de calcium|
Conserves|D'Aucy|Poêlée Haricots verts au beurre persillé|a|Haricots verts extra fins coupés, eau, _beurre_, persil, sel, ail, antioxydant : acide ascorbique, épaississants : gomme xanthane, gomme guar, poivre.|184|1.7|1.5|3.9|1.9|0.6|||||||||||||||||0|en:milk|E300 - Acide ascorbique,E412 - Gomme de guar,E415 - Gomme xanthane|
